type_,start_date_local_,distance_sum,distance_mean,distance_min,distance_max,moving_time_sum,moving_time_mean,moving_time_min,moving_time_max,total_elevation_gain_sum,total_elevation_gain_mean,total_elevation_gain_min,total_elevation_gain_max
Run,2022-06-30 17:43:51+02:00,7749.9,7749.9,7749.9,7749.9,2822,2822,2822,2822,14.3,14.3,14.3,14.3
Run,2022-06-29 18:05:00+02:00,2536.6,2536.6,2536.6,2536.6,1144,1144,1144,1144,10.0,10.0,10.0,10.0
Run,2022-06-29 13:13:39+02:00,3933.3,3933.3,3933.3,3933.3,1514,1514,1514,1514,37.0,37.0,37.0,37.0
Swim,2022-06-29 12:32:28+02:00,1578.9,1578.9,1578.9,1578.9,2221,2221,2221,2221,0.0,0.0,0.0,0.0
Swim,2022-06-29 12:29:34+02:00,25.0,25.0,25.0,25.0,142,142,142,142,0.0,0.0,0.0,0.0
Run,2022-06-29 12:10:28+02:00,2812.2,2812.2,2812.2,2812.2,1031,1031,1031,1031,11.0,11.0,11.0,11.0
Ride,2022-06-29 08:31:15+02:00,8507.0,8507.0,8507.0,8507.0,1243,1243,1243,1243,74.0,74.0,74.0,74.0
WeightTraining,2022-06-29 08:09:09+02:00,0.0,0.0,0.0,0.0,482,482,482,482,0.0,0.0,0.0,0.0
Yoga,2022-06-29 08:02:56+02:00,0.0,0.0,0.0,0.0,245,245,245,245,0.0,0.0,0.0,0.0
Ride,2022-06-28 17:54:02+02:00,8546.5,8546.5,8546.5,8546.5,1355,1355,1355,1355,50.0,50.0,50.0,50.0
Ride,2022-06-28 08:32:10+02:00,8741.1,8741.1,8741.1,8741.1,1298,1298,1298,1298,74.0,74.0,74.0,74.0
WeightTraining,2022-06-28 05:54:12+02:00,0.0,0.0,0.0,0.0,559,559,559,559,0.0,0.0,0.0,0.0
Yoga,2022-06-28 05:50:44+02:00,0.0,0.0,0.0,0.0,178,178,178,178,0.0,0.0,0.0,0.0
WeightTraining,2022-06-27 05:55:23+02:00,0.0,0.0,0.0,0.0,632,632,632,632,0.0,0.0,0.0,0.0
Yoga,2022-06-27 05:50:58+02:00,0.0,0.0,0.0,0.0,230,230,230,230,0.0,0.0,0.0,0.0
Ride,2022-06-26 14:02:10+02:00,71417.1,71417.1,71417.1,71417.1,9250,9250,9250,9250,428.0,428.0,428.0,428.0
WeightTraining,2022-06-26 07:31:30+02:00,0.0,0.0,0.0,0.0,262,262,262,262,0.0,0.0,0.0,0.0
Yoga,2022-06-26 07:23:52+02:00,0.0,0.0,0.0,0.0,227,227,227,227,0.0,0.0,0.0,0.0
Run,2022-06-25 21:18:59+02:00,8189.1,8189.1,8189.1,8189.1,2450,2450,2450,2450,0.0,0.0,0.0,0.0
WeightTraining,2022-06-25 07:33:31+02:00,0.0,0.0,0.0,0.0,264,264,264,264,0.0,0.0,0.0,0.0
Yoga,2022-06-25 07:30:23+02:00,0.0,0.0,0.0,0.0,154,154,154,154,0.0,0.0,0.0,0.0
WeightTraining,2022-06-24 06:57:34+02:00,0.0,0.0,0.0,0.0,514,514,514,514,0.0,0.0,0.0,0.0
Yoga,2022-06-24 06:51:55+02:00,0.0,0.0,0.0,0.0,222,222,222,222,0.0,0.0,0.0,0.0
Run,2022-06-23 13:08:45+02:00,8021.1,8021.1,8021.1,8021.1,2506,2506,2506,2506,85.0,85.0,85.0,85.0
Swim,2022-06-23 12:30:55+02:00,1495.0,1495.0,1495.0,1495.0,1659,1659,1659,1659,0.0,0.0,0.0,0.0
WeightTraining,2022-06-23 06:58:55+02:00,0.0,0.0,0.0,0.0,240,240,240,240,0.0,0.0,0.0,0.0
Yoga,2022-06-23 06:53:59+02:00,0.0,0.0,0.0,0.0,158,158,158,158,0.0,0.0,0.0,0.0
Run,2022-06-22 20:04:27+02:00,16005.6,16005.6,16005.6,16005.6,4988,4988,4988,4988,210.0,210.0,210.0,210.0
WeightTraining,2022-06-22 05:23:54+02:00,0.0,0.0,0.0,0.0,461,461,461,461,0.0,0.0,0.0,0.0
Yoga,2022-06-22 05:20:05+02:00,0.0,0.0,0.0,0.0,193,193,193,193,0.0,0.0,0.0,0.0
Swim,2022-06-21 17:26:49+02:00,1528.6,1528.6,1528.6,1528.6,2029,2029,2029,2029,0.0,0.0,0.0,0.0
