date,score_sleep,Duree_sommeil,coucher,lever,FC_repos,FC_max_day,stress,training_status,training_comment,VO2_max_run,training_load
2022-06-17,40,247,0:25,6:02,54.0,89.0,24.0,Productif,Manque d'anaérobie,56.0,"1,292"
2022-06-16,,,,,61.0,199.0,48.0,Productif,Manque d'anaérobie,56.0,"1,578"
2022-06-15,38,337,23:40,5:48,58.0,177.0,43.0,Productif,Manque d'anaérobie,56.0,"1,549"
2022-06-14,No data,No data,No data,No data,51.0,180.0,52.0,Productif,Manque d'anaérobie,56.0,"1,565"
2022-06-13,85,425,22:50,6:25,42.0,167.0,34.0,Productif,Manque d'anaérobie,56.0,"1,572"
2022-06-12,29,229,1:06,5:05,45.0,111.0,31.0,Productif,Manque d'anaérobie,56.0,"1,629"
2022-06-11,60,457,22:00,6:39,48.0,186.0,39.0,Productif,Manque d'anaérobie,56.0,"1,655"
2022-06-10,50,511,21:54,7:48,45.0,169.0,34.0,Productif,Manque d'anaérobie,56.0,"1,239"
2022-06-09,No data,No data,No data,No data,51.0,169.0,39.0,Maintien,Manque d'anaérobie,56.0,"1,198"
2022-06-08,32,294,22:43,5:57,51.0,175.0,40.0,Maintien,Manque d'anaérobie,56.0,"1,139"
2022-06-07,53,396,1:03,8:36,43.0,177.0,36.0,Non productif,Manque d'anaérobie,56.0,"1,127"
2022-06-06,76,413,23:38,6:40,44.0,207.0,30.0,Non productif,Manque d'anaérobie,56.0,"1,140"
2022-06-05,72,412,1:46,9:28,45.0,129.0,25.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,113"
2022-06-04,49,288,2:08,7:17,49.0,103.0,35.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,087"
2022-06-03,67,461,22:31,7:55,50.0,181.0,33.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,477"
2022-06-02,51,368,23:08,6:27,49.0,156.0,37.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,232"
2022-06-01,36,278,22:33,4:25,46.0,171.0,32.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,469"
2022-05-31,72,479,22:59,7:48,45.0,176.0,30.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,215"
2022-05-30,,,,,51.0,185.0,39.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,122"
2022-05-29,59,361,23:32,5:51,46.0,96.0,21.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,048"
2022-05-28,74,488,22:28,7:12,41.0,193.0,30.0,Productif,Manque de charge d'aérobie élevée,57.0,"1,124"
